unique	Strain	read_index	-7	-6	-5	-4	-3	-2	-1	-0	1	2	3	4	5	6	7
348168	25s_2880	wt	23150	NA	112.42	90.64	77.1133333333333	110.54	79.44	72.26	NA	77.97	72.7	73.59	70.94	70.115	79.02	93.7
348169	25s_2880	wt	23151	115.195	111.17	93.92	78.35	107.38	72.46	72.255	74.57	NA	75.38	74.91	71.4	68.6333333333333	79.5016666666667	96.92
348170	25s_2880	wt	23152	114.04	119.96	NA	NA	113.27	82.12	75.2981818181818	69.97	74.74	77.54	74.206	70.6	70.1625	77.88	92.9925
348171	25s_2880	wt	23154	NA	NA	NA	NA	112.25	92.41	73.7257142857143	NA	NA	NA	NA	NA	70.7	80.57	95.98
348172	25s_2880	wt	23155	118.17	109.91	89.61	78.3025	108.96	78.05	76.505	76.125	77.2266666666667	75.8875	80.53	72.94	70.19	80.245	95.16
348173	25s_2880	wt	23156	112.913333333333	109.11	95.625	78.185	104.563333333333	80.02	75.785	70.94	NA	75.35	72.7	70.57	70.1075	79.48	95.08
348174	25s_2880	wt	23157	106	109.91	79.03	75.91	99.82	76.39	68.94	NA	NA	NA	NA	71.6633333333333	71.04	80.675	90.66
348175	25s_2880	wt	23158	116.77	109.82	92.85	76.66	107.96	78.76	70.36	72.44	76.1	74.17	74.645	72.375	67.5016666666667	79.2166666666667	95.79
348176	25s_2880	wt	23159	110.125	109.86	91.09	75.43	99.97	74.68	71.76	NA	NA	NA	NA	71.154	70.29	79.985	90.6066666666667
348177	25s_2880	wt	23160	113.43	105.34	92.83	77.84	106.72	76.91	70.69	70.09	NA	76.05625	73.975	70.51	69.01	80.41	95.13
348178	25s_2880	wt	23161	112.83	109.48	92.15	77.33	108.53	75.57	71.79	NA	NA	74.48	74.9633333333333	68.83	70.1728571428572	79.41	92.802
348179	25s_2880	wt	23162	117.065	110.48	94.88	78.52	103.03	78.19	75.985	71.07	76.6	73.79	74.6142857142857	72.735	69.9066666666667	79.22	95.07
348180	25s_2880	wt	23163	117.49	110.39	90.97	76.53	110.18	75.53	71.545	73.08	NA	77.5	71.84	71.2	69.9833333333333	78.33	92.61
348181	25s_2880	wt	23165	115.2	109.01	90	76.4	107.89	75.88	75.5133333333333	74.96	NA	NA	73.6342857142857	71.08	69.055	80.79	92.15
348182	25s_2880	wt	23167	NA	112.59	89.82	78.31	103.47	77.93	70.695	NA	NA	72.84	75.55	72.79	69.5571428571428	78.8266666666667	90.78
348183	25s_2880	wt	23168	111.65	107.26	93.69	76.994	107.025	79.545	73.895	77.81	NA	NA	73.7816666666667	70.8233333333333	73.49	81.12	92.99
348184	25s_2880	wt	23169	115.65	111.26	95.55	78.51	91.86	86.9433333333333	80.4025	72.19	NA	NA	68.91	72.218	75.75	81.68	84.23
348185	25s_2880	wt	23171	NA	111.88	94.38	78.46	104.56	80.49	70.9	NA	NA	NA	73.9228571428571	72.41	73.16	81.27	96.73
348186	25s_2880	wt	23172	112.57	108.17	88.02	76.63	113.72	78.67	69.77	NA	NA	NA	73.1478571428571	74.155	70.265	79.4166666666667	93.94
348187	25s_2880	wt	23173	111.92	109.42	88.62	76.96	105.32	74.26	77.51	NA	NA	NA	70.9	71.16375	69.05	80.4016666666667	93.9
348188	25s_2880	wt	23174	NA	105.57	96.51	79.99	98.085	78.8	71.9866666666667	72.23	74.74	73.89	75.13	70.36	67.205	79.2516666666667	91.2966666666667
348189	25s_2880	wt	23176	103.81	112.03	91.83	78.29	106.096666666667	81.07	79.848	NA	NA	NA	72.2833333333333	71.58	70.745	82.445	92.58
348190	25s_2880	wt	23179	113.81	92.78	93.405	80.03	99.25	NA	80.88	67.6	NA	NA	NA	71.6672727272727	74.79	78.865	93.2225
348191	25s_2880	wt	23181	110.24	104.75	89.52	75.938	103.955	78.16	71.65	NA	NA	NA	NA	71.845	69.63	78.4366666666667	88.99
348192	25s_2880	wt	23182	NA	113.47	94.24	78.315	108.64	80.08	74.62	80.275	77.7	76.204	73.1	70.33	68.7	79.46	94.37
348193	25s_2880	wt	23183	NA	109.91	92.08	76.66	105.58	77.44	69.105	NA	NA	NA	NA	68.93	69.5872727272727	79.8433333333333	92.12
348194	25s_2880	wt	23184	114.83	113.28	96.14	80.816	109.755	80.22	73.62	NA	NA	72.16	73.4933333333333	71.66	70.8175	82.345	94.91
348195	25s_2880	wt	23185	114.135833333333	111.9	94.07	79.065	108.48	83.43	79.044	NA	NA	NA	NA	72.7233333333333	70.0683333333333	79.8933333333333	92.7875
348196	25s_2880	wt	23186	107.25	112.97	97.41	78.48	89.74	86.44	80.61	67.01	73.19	76.04	75.005	68.79	69.742	82.26	92.0366666666667
348197	25s_2880	wt	23187	NA	NA	93.12	77.66	111.7	75.64	71.03	NA	NA	76.3	74.6125	71.03	69.85	81.038	91.1133333333333
348198	25s_2880	wt	23188	111.958	111.91	96.65	78.2016666666667	101.48	81.4633333333333	78.42	NA	NA	76.2	73.3	67.78	70.714	82.735	92.975
348199	25s_2880	wt	23189	116.92	115.07	98.74	80.2533333333333	103.5	NA	NA	70.635	77.59	76.355	75.63	74.31	68.81	82.09	90.93
348200	25s_2880	wt	23190	110.74	NA	NA	78.62	99	76.65	72.73	71.14	74.42	77.4744444444445	70	70.43	72.01	79.955	93.16
348201	25s_2880	wt	23191	112.36	116.2	94.26	77.23	104.48	82.88	69.69	69.44	75.16	77.69	73.915	72.005	69.44	80.335	96.18
348202	25s_2880	wt	23192	113.49	108.73	92.85	79.505	106.59	73.65	89.1	NA	NA	NA	71.75	72.8225	70.59	82.63	92.845
348203	25s_2880	wt	23193	NA	116.35	95.02	78.5565517241379	NA	NA	78.22	NA	NA	75.9	75.0133333333333	71.35	73.155	81.88	98.17
348204	25s_2880	wt	23194	NA	NA	92.82	79.06	107.29	78.895	77.49	NA	NA	76.03	72.675	73.2666666666667	74	78.505	94.95
348205	25s_2880	wt	23195	NA	NA	NA	NA	112.37	89.31	73.8610526315789	NA	NA	NA	75.72	72.72	69.6718181818182	78.455	93.14
348206	25s_2880	wt	23196	NA	113.13	89.95	77.585	102.64	81.04	NA	NA	NA	75.78	75.01	71.3	70.2028571428571	79.3066666666667	88.3
348207	25s_2880	wt	23197	115.18	108.95	103.66	76.52	110.64	NA	72.39	70.99	77.87	76.57	73.04	74.82	71.11	77.66	94.8457142857143
348208	25s_2880	wt	23198	NA	NA	89.9	75.335	100.82	86.31	77.106	NA	NA	80.59	72.66	72.72625	70.39	81.5914285714286	90.5533333333333
348209	25s_2880	wt	23200	NA	116.32	90.68	78.6133333333333	108.99	77.75	75.7133333333333	NA	NA	NA	73.038125	71.385	68.75	83.245	92.09
348210	25s_2880	wt	23201	115.27	110.17	89.97	78.97	102.03	75.87	76.606	71.84	NA	76.1236363636364	73.935	72.03	69.14	80.2583333333333	95
348211	25s_2880	wt	23202	NA	110.76	94.25	81.455	NA	83.04	73.44	NA	NA	73.5	75.87	71.07	75.06	82.09	99.9
348212	25s_2880	wt	23203	112.3	117.47	92.83	80.05	107.04	82.68	75.715	72.29	72.17	74.42	80.91	70.12	72.08	81.1575	95.875
348213	25s_2880	wt	23204	118.04	95.42	86.24	80.3775	104.1875	76.97	77.62	69.86	70.95	75.06	73.78	73.96	73.73	82.18	90.48
348214	25s_2880	wt	23205	111.79	115.385	88.33	80.41	109.09	82.54	75.4	73.29	77.83	77.625	75.04	71.985	72.99	80.5066666666667	95.11
348215	25s_2880	wt	23206	117.36	111.3	93.64	78.3166666666667	103.31	76.75	82.22	NA	NA	NA	NA	65.95	70.41	79.37	94.72
348216	25s_2880	wt	23207	111.15	115.07	91.75	77.19	108.72	77.62	72.36	NA	NA	NA	73.38	70.65	72.07	80.92	93.9228571428572
348217	25s_2880	wt	23208	116.78	113.56	95.2	78.655	107.57	76.59	75.55	84.93	79.4075	76.4375	72.93	72.63	70.125	78.865	93.2222222222222
348218	25s_2880	wt	23209	112.82	115.62	87.49	76.19	111.93	71.04	74.01	71.6	77.16	77.04	74.845	71.47	71.38	79.1616666666667	94.97
348219	25s_2880	wt	23210	112.23	105.71	89.83	78.46	107.39	75.02	80	82.19	78.695	78.77	71.39	72.62	68.1333333333333	78.02	85.59
348220	25s_2880	wt	23211	116.37	110.31	93.1775	77.9	108.935	77.94	74.273	NA	NA	72.32	75.1190909090909	71.9328571428572	70.285	79.99	92.1575
348221	25s_2880	wt	23212	117.86	107.43	95.16	78.378125	105.897142857143	80.34	75.514	NA	NA	NA	73.4666666666667	72.095	70.535	76.725	91.19
348222	25s_2880	wt	23213	NA	113.27	90.78	78.51	101.44	76.21	71.13	NA	NA	NA	74.2666666666667	71.6	69.565	79.66	92.58
348223	25s_2880	wt	23214	NA	113.29	91.79	77.77625	111.85	82.93	76.215	72	76.22	82.07	82.93	75.44	72.05	81.615	95.45
348224	25s_2880	wt	23215	NA	NA	91.515	78.425	109.85	79.26	75.93	NA	NA	73.59	73.006	73.78	69.32	78.08	92.9666666666667
348225	25s_2880	wt	23216	117.11	108.34	91.0066666666667	77.5766666666667	106.51	75.09	73.32	71.18	NA	NA	73.62625	72.155	71.99	80.53	92.3433333333333
348226	25s_2880	wt	23217	112.658	111.8	92.27	77.34	104.02	74.1	70.76	69	NA	NA	73.102	71.95	71.2166666666667	82.5975	83.24
348227	25s_2880	wt	23218	115.62	109.33	90.005	77.52	111.11	80.455	74.7633333333333	74.49	74.6	70.3	75.455	70.34	67.58	79.04	90.525
348228	25s_2880	wt	23219	114.62	111.79	92.43	77.2266666666667	109.19	NA	NA	70.87	78.084	73.29	76.64	71.82	71.85	78.3633333333333	94.35
348229	25s_2880	wt	23220	113.67	111.07	94.67	80.85	106.4	79.53	75.5266666666667	70.88	NA	75.36	75.9	71.2325	70.87	78.5633333333333	93.15
348230	25s_2880	wt	23221	NA	NA	106.63	79.2	99.26	77.47	72.93	NA	NA	74.45	73.485	69.87	71.07	80.09	93.755
348231	25s_2880	wt	23222	NA	114.03	95.12	80.835	95.3	82.12	75.715	NA	NA	NA	NA	71.2388888888889	75.07	82.13	97.575
348232	25s_2880	wt	23223	NA	112.27	95.55	78.24	113.4	75.64	71.46	79.17	79.27	79.07	76.56	72.18	72.49	80.255	92.9833333333333
348233	25s_2880	wt	23224	115.25	109.19	93.8	78.16	109.505	77.39	71.4	70.18	73.88	75.08	76.31	72.865	70.0333333333333	78.31	94.4966666666667
348234	25s_2880	wt	23225	114.06	112.11	92.59	79.31	108.64	73.35	74.9633333333333	NA	NA	NA	70.14	71.5003703703703	70.2272727272727	79.855	94.255
348235	25s_2880	wt	23226	118.16	109.66	89.52	76.17	113.17	76.03	76.28	73.98	77.71	75.45	73.5966666666667	71.43	70.74	80.33	95.345
348236	25s_2880	wt	23227	111.966666666667	115.88	106.95	80.05	108.36	82.13	80.74	70.7	72.65	76.335	74.87	71.4266666666667	72.51	80.41	95.8383333333334
348237	25s_2880	wt	23228	109.41	113.4	106.22	77.3716666666667	105.215	74.71	69.9133333333333	77.36	80.26	73.63	74.4566666666667	72.65	69.804	79.9433333333333	92.49
348238	25s_2880	wt	23229	120.06	111.94	89.49	79.17	105.93	78.48	73.56	NA	NA	74.26	73.05	73.0391666666667	71.04	79.87	91.09
348239	25s_2880	wt	23230	111.703333333333	106.59	88.64	77.14	106.253333333333	72.66	74.2166666666667	NA	NA	NA	71.33	71.837	69.37	80.9	95.2
348240	25s_2880	wt	23231	112.405	104.53	92.35	77.29	114.35	77.43	74.886	75.1	NA	74.77	74.6325	69.17	69.8025	79.505	95.01
348241	25s_2880	wt	23232	116.475	115.422	91.59	77.28	NA	NA	74.4664285714286	NA	NA	75.07	73.5633333333333	74.915	69.94	80.16	93.595
348242	25s_2880	wt	23233	113.59	113.17	90.6	79.60375	108.22	75.89	75.6625	72.87	73.72	77.1116666666667	74.44	70.918	72.6	78.85	95.0733333333333
348243	25s_2880	wt	23234	115.91	110.26	89.03	76.94	103.17	78.48	73.9375	73.76	NA	75.19	74.77	73.86	70.79	79.28	92.2666666666667
348244	25s_2880	wt	23235	110.73	110.06	93.16	78.87	112.01	79.7	76.5566666666667	NA	75.77	76.2925	72.24	71.68	70.0833333333333	79.22	98.09
348245	25s_2880	wt	23236	107.26	107.4	94.19	78.06	NA	NA	76.43	73.34	78.58	76	73.9725	71.3	73.13	78.99	92.86
348246	25s_2880	wt	23237	112.55	117.26	91.05	79.68	94.52	83.8	79.8371428571429	NA	NA	NA	73.11	71.0958333333333	72.16	82.455	100.27
348247	25s_2880	wt	23238	119.03	110.03	91.02	77.9666666666667	111.27	76.1	76.7933333333333	73.24	NA	73.955	73.33	71.1366666666667	69.69	80.025	95.36
348248	25s_2880	wt	23241	109.17	109.55	90.25	77.24	100.71	NA	NA	NA	NA	NA	NA	72.3157142857143	71.93	79.0866666666667	91.78
348249	25s_2880	wt	23242	110.68	114.28	94.275	78.28	105.49	80.43	69.0133333333333	69.25	76.08	76.51	74.2766666666667	70.29	75.88	79.76	95.44
348250	25s_2880	wt	23243	118.23	109.87	92.66	77.985	102	71.6	70.404	70.54	NA	NA	NA	71.558	71.12	81.76	93.86
348251	25s_2880	wt	23244	115.074	111.27	90.07	78.1125	108.85	75.72	70.78	72.775	77.76	76.6625	70.69	72.03	69.945	79.1433333333333	92.31
348252	25s_2880	wt	23245	110.14	113.2	90.9366666666667	78.685	105.415	72.32	73.92	NA	NA	73.43	74.54	73.27	70.1333333333333	81.7016666666667	99.59
348253	25s_2880	wt	23246	NA	109.17	90	77.225	103.27	81.08	69.25	71.4	76.69	76.312	74.32	73.05	74.6	82.95	98.14
348254	25s_2880	wt	23247	106.25	116.61	107.97	77.0233333333333	106.67	78.28	72.91	NA	NA	NA	73.222	71.57	69.645	78.9607692307692	95.38
348255	25s_2880	wt	23248	110.04	106.07	91.7	79.06	114.33	76.69	72.59	NA	NA	73.47	73.4216666666667	71.68	70.1133333333333	80.855	93.61
348256	25s_2880	wt	23249	119.34	112.8	94.095	78.87	104.53	80.59	74.97	70.53	76.72	77.35375	75.38	71.1	70.4	81.475	92.56
348257	25s_2880	wt	23250	111.96	109.47	85.93	NA	NA	NA	67.99	72.52	76	74.61	73.555	72.34	68.7666666666667	80.94	95.46
348258	25s_2880	wt	23251	114.683333333333	111.06	92.375	76.14	106.66	74.85	70.95	71.42	73.43	77.74	72.81	71.17	70.7844444444444	78.83	93.98
348259	25s_2880	wt	23252	NA	113.33	95.44	77.64	107.17	75.58	71.6833333333333	NA	NA	NA	70.64	73.4490909090909	71.36	79.85	91.4733333333333
348260	25s_2880	wt	23253	114.32	109.04	93.71	77.28	108.88	81.59	78.1057142857143	72.28	77.78	77.68	74.23	73.555	71.4	79.57	93.4175
348261	25s_2880	wt	23254	113.006666666667	111.03	97.97	79.49	107.89	81.79	76.28	76.42	73.49	74.47	77.27	75.23	71.03	81.19	94.4033333333334
348262	25s_2880	wt	23255	113.78	94.59	87.2183333333333	79.3936363636364	103.315	81.75	70.545	71.28	78.14	77.2066666666667	75.49	71.91	71.1283333333333	81.9	91.866
348263	25s_2880	wt	23256	109.1	106.08	94.19	78.44	104.18	76.64	71.36	NA	NA	NA	71.08	72.616	70.196	79.245	93.96
348264	25s_2880	wt	23258	109.1	108.67	91.65	77.0333333333333	109.24	76.04	70.9475	NA	NA	NA	NA	68.76	70.906	79.98	92.355
348265	25s_2880	wt	23259	113.9	97.38	92.7266666666667	77.1333333333333	99.92	79.73	71.44	71.15	76.6	75.155	74.0275	72.1625	74.91	79.64	91.2
348266	25s_2880	wt	23260	111.035	108.13	92.635	76.95	113.41	78.44	73.595	NA	NA	NA	73.6771428571429	70.99	69.835	80.0669565217391	92.0925
348267	25s_2880	wt	23261	115.55	95.5	89.515	79.9866666666667	107.53	83.99	74.3033333333333	71.7033333333333	77.33	76.84	75.39	71.766	72.99	80.26	93.56
348268	25s_2880	wt	23262	111.96	113.83	87.66	76.14	105.316666666667	79.72	72.8	71.02	NA	76.294	73.755	69.59	72.28	80.23	93.435
348269	25s_2880	wt	23263	115.886666666667	115.36	106.5	78.2383333333333	107.53	83.88	76.64	75.29	NA	74.59	74.1716666666667	70.08	72.57	79.795	93.825
348270	25s_2880	wt	23264	NA	NA	92.06	77.17	NA	NA	74.96	NA	NA	NA	73.463	69.71	69.35	78.55	94.67
348271	25s_2880	wt	23265	NA	110.53	92.68	79.295	101.543333333333	82.27	70.64	NA	NA	NA	NA	NA	70.215	81.2083333333333	92.42
348272	25s_2880	wt	23266	112.82	103.24	90.1533333333334	75.39	NA	88.68	69.41	NA	NA	NA	72.184	70.43	67.8833333333333	75.76	94.035
348273	25s_2880	wt	23267	106.735	102.78	101.91	80.84	100.855	77.07	68.89	NA	NA	70.44	72.45	71.0125	72.795	81.46	94.65
348274	25s_2880	wt	23268	111.924	113.49	93.22	78.675	110.18	79.4	72.125	NA	NA	NA	73.885	73.29	69.5933333333333	79.06	92.55
348275	25s_2880	wt	23269	115.08	116.62	93.37	78.6545454545454	97.24	71.55	74.46	71.34	73.98	75.88	75.31	73.23	71.02	82.28	93.51
348276	25s_2880	wt	23271	115.74	110.13	88.76	79.19125	109.4	NA	NA	NA	NA	NA	73.9975	70.76	72.44	81.6525	92.3166666666667
348277	25s_2880	wt	23272	115.06	111.01	80.18	78.1166666666667	105.85	79.02	68.92	69.2	75.39	76.8266666666667	74.01	71.4	71.11	80.725	96.63
348278	25s_2880	wt	23273	103.63	112.91	93.96	77.615	94.3	76.61	72.25	NA	NA	NA	72.872	72.2066666666667	71.18375	81.0666666666667	91.4025
348279	25s_2880	wt	23274	114.72	110.03	91	77.93	114.69	79.99	72.75	72.515	74.21	75.9933333333333	74.7866666666667	71.82	68.61	78.87625	91.135
348280	25s_2880	wt	23275	NA	NA	89.77	77.35	108.085	77.92	74.19	NA	NA	NA	74.902	70.42	72.09	78.355	93.71
348281	25s_2880	wt	23276	112.9	111.1	91.42	79.3833333333333	107.42	82.62	76.345	71.09	NA	75.4636363636364	73.75	71.24	71.66	79.745	95.97
348282	25s_2880	wt	23277	115.92	111.42	97.54	76.85	104.64	82.94	78.6	73.85	NA	74.69	75.94	73.07	70.7	80.25	91.72
348283	25s_2880	wt	23278	111.28	116.76	92.11	78.75	98.68	89.0025	77.45	NA	NA	NA	NA	71.514	69.0225	79.5983333333333	90.19
348284	25s_2880	wt	23279	111.613333333333	109.14	91.61	76.94	95.59	76.82	74.16	NA	NA	NA	72.72	72.6433333333333	70.31	78.2533333333333	93.36
348285	25s_2880	wt	23280	NA	111.7	94.74	83.945	105.47	78.86	70.29	NA	76.46	77.62	74.41	72.47	69.34	80.6066666666667	93.43
348286	25s_2880	wt	23281	NA	109.18	94.28	76.0675	104.11	76.59	74.5766666666667	NA	NA	NA	70.09	72.2	70.69	79.815	91.71
348287	25s_2880	wt	23282	109.246666666667	109.48	97.13	78.345	102.65	76.77	71.6366666666667	71.88	72.55	75.0975	76.34	72.195	70.925	81.98	95.79
348288	25s_2880	wt	23283	115.41	110.22	91.87	77.8933333333333	105.06	79.72	73.2866666666667	70.39	77.35	73.77	73.25	72.728	74.94	79.82	90.045
348289	25s_2880	wt	23284	112.076666666667	111.08	90.8	77.9814285714286	108.41	79.38	76.61	71.27	75.34	77.29	72.55	69.53	69.9025	79.8933333333333	96.42
348290	25s_2880	wt	23285	113.73	115.14	92.07	77.4344444444444	107.81	79.46	78.1	NA	NA	75.52	80.38	75.31	70.18	80.32	94.685
348291	25s_2880	wt	23287	113.32	113.2	91.5316666666667	76.3766666666667	103.515	75.62	75.9666666666667	NA	NA	NA	72.915	72.77	67.85	79.37	95.14
348292	25s_2880	wt	23288	NA	110.21	90.79	75.895	107.095	76.69	72.6583333333333	NA	NA	NA	74.355	71.85	70.92	79.56	94.47
348293	25s_2880	wt	23289	NA	109.54	92.61	77.87	98.6	81.85	76.365	74.37	76.7	77.1233333333333	75.1966666666667	68.9	69.1475	78.99	95.78
348294	25s_2880	wt	23291	105.43	110.74	95.17	81.23	96.27	80.51	71.95	NA	74.26	76.04	72.24	71.105	71.1	82.54375	96.25
348295	25s_2880	wt	23292	110.33	110.1	93.34	77.91	93.39	77.26	71.08	NA	NA	71.98	73.39	72.88	72.185	81.055	94.045
348296	25s_2880	wt	23293	107.36	108	97.12	80.93	104.3175	85.8366666666667	78.44625	78.03	NA	82.51	69.56	71.4016666666667	72.46	80.515	93.295
348297	25s_2880	wt	23294	NA	116.12	96.77	78.38	104.44	84.59	73.688	NA	NA	NA	70.45	72.6025	70.3583333333333	79.96	80.42
348298	25s_2880	wt	23295	116.645	113.19	96.91	77.77	107.29	82.575	77.7733333333333	68.41	74.26	77.38	75.0066666666667	73.42	70.0466666666667	81.47	97.13
348299	25s_2880	wt	23296	117.63	111.28	93.35	78.7275	113.09	84.93	77.9433333333333	73.295	74.06	77.985	74.32	71.345	68.94	78.88	93.755
348300	25s_2880	wt	23297	116.25	93.64	83.41	78.2166666666667	105.9	NA	NA	73.69	74.78	76.15	72.22	69.98	70.8433333333333	80.47	92.71
348301	25s_2880	wt	23298	116.005	109.71	90.475	76.6825	109.525	74.45	73.45	NA	NA	75.67	73.22375	72.42	70.445	79.15	92.03
348302	25s_2880	wt	23299	113.373333333333	107.31	94.635	78.0825	110.74	80.21	72.46	73.65	76.68	76.31	69.32	70.96	69.79	80.71	93.1025
348303	25s_2880	wt	23300	115.79	113.25	95.21	77.4075	106.38	81.24	70.42	75.47	75.69	75.52	74.76	73.28	70.835	80.19	93.67
348304	25s_2880	wt	23301	111.91	105.33	87.7	73.54	105.833333333333	73.13	73.2333333333333	NA	NA	NA	72.375	71.945	69.04	79.095	85.44
348305	25s_2880	wt	23302	NA	112.22	93.79	76.9	108.86	82.44	75.615	NA	NA	NA	73.1175	71.2	71.33	80.475	95.6133333333333
348306	25s_2880	wt	23303	103.73	107.105	96.15	80.7633333333333	103.11	82.46	76.85	NA	NA	NA	NA	71.1266666666667	70.705	80.81	97.74
348307	25s_2880	wt	23304	114.64	107.27	90.49	75.3728571428571	97.64	79.57	73.47	NA	NA	NA	NA	68.63	70.5357142857143	80.52	94.09
348308	25s_2880	wt	23305	NA	109.06	93.17	78.992	106.8	82.36	76.34	NA	NA	NA	NA	NA	68.2453846153846	80.38	89.29
348309	25s_2880	wt	23306	113.74	109.93	91.15	78.005	96.97	78.03	70.2266666666667	NA	NA	NA	NA	73.0309090909091	70.735	81.316	92.78
348310	25s_2880	wt	23307	111.1	110.99	93.2	78.55	107.9	74.87	70.13	NA	NA	74.97	74.0677777777778	70.39	71.68	80.135	95
