Gene_Name	other_name	Gene_Pos	Chr	Genome_Pos	Strand	chr_pos	Reference	Heat	Enzyme
YHR183W	GND1	1154	chrVIII	472113	+	chrVIII_472113	Carlile 2014	No	Pus1
YKL080W	VMA5	653	chrXI	285682	+	chrXI_285682	Carlile 2014	No	Pus1
YKL006W	RPL14A	57	chrXI	431962	+	chrXI_431962	Carlile 2014	No	Pus1
YLL055W	YCT1	-130	chrXII	29979	+	chrXII_29979	Carlile 2014	No	Pus1
YLR164W	SHH4	116	chrXII	493998	+	chrXII_493998	Carlile 2014	No	Pus1
YLR264W	RPS28B	114	chrXII	673244	+	chrXII_673244	Carlile 2014	No	Pus1
YMR186W	HSC82	72	chrXIII	632426	+	chrXIII_632426	Carlile 2014	No	Pus1
YMR262W	YMR262W	1007	chrXIII	794732	+	chrXIII_794732	Carlile 2014	No	Pus1
YMR297W	PRC1	420	chrXIII	862341	+	chrXIII_862341	Carlile 2014	No	Pus1
YNL277W	MET2	1364	chrXIV	118712	+	chrXIV_118712	Carlile 2014	No	Pus1
YNL208W	YNL208W	215	chrXIV	254632	+	chrXIV_254632	Carlile 2014	No	Pus1
YNL056W	OCA2	293	chrXIV	517541	+	chrXIV_517541	Carlile 2014	No	Pus1
YNR030W	ALG12	184	chrXIV	678982	+	chrXIV_678982	Carlile 2014	No	Pus1
YOL115W	PAP2	-24	chrXV	101450	+	chrXV_101450	Carlile 2014	No	Pus1
YOR374W	ALD4	121	chrXV	1039960	+	chrXV_1039960	Carlile 2014	No	Pus1
YOR332W	VMA4	209	chrXV	943864	+	chrXV_943864	Carlile 2014	No	Pus1
YPR001W	CIT3	1243	chrXVI	557619	+	chrXVI_557619	Carlile 2014	No	Pus1
YCL042W	YCL042W	445	chrIII	51028	+	chrIII_51028	Carlile 2014,Schwartz 2014	No	Pus1
YPL218W	SAR1	419	chrXVI	139115	+	chrXVI_139115	Carlile 2014	No	Pus1
YGL021W	ALK1	103	chrVII	454887	+	chrVII_454887	Carlile 2014	No	Pus1,2,3?
YGR141W	VPS62	24	chrVII	770592	+	chrVII_770592	Carlile 2014	No	Pus1,2?
YPR009W	SUT2	119	chrXVI	576670	+	chrXVI_576670	Carlile 2014	No	Pus1,2?
YPL237W	SUI3	323	chrXVI	100818	+	chrXVI_100818	Carlile 2014	No	Pus1,3?
YDR385W	EFT2	11	chrIV	1243240	+	chrIV_1243240	Carlile 2014	No	Pus2
YDR444W	YDR444W	-11	chrIV	1350279	+	chrIV_1350279	Carlile 2014	No	Pus2
YER140W	EMP65	233	chrV	451797	+	chrV_451797	Carlile 2014	No	Pus2
YKL120W	OAC1	942	chrXI	218285	+	chrXI_218285	Carlile 2014	No	Pus2
YLR264W	RPS28B	46	chrXII	673176	+	chrXII_673176	Carlile 2014	No	Pus2
YOR133W	EFT1	11	chrXV	575108	+	chrXV_575108	Carlile 2014	No	Pus2
YPR009W	SUT2	-18	chrXVI	576534	+	chrXVI_576534	Carlile 2014	No	Pus2
YGL006W	PMC1	1603	chrVII	487523	+	chrVII_487523	Carlile 2014	No	Pus2,3?
YPR160W	GPH1	98	chrXVI	861403	+	chrXVI_861403	Carlile 2014	No	Pus2,4?
YNL236W	SIN4	20	chrXIV	206949	+	chrXIV_206949	Carlile 2014	No	Pus2,9?
YBR056W	YBR056W	450	chrII	348328	+	chrII_348328	Carlile 2014	No	Pus3
YDR380W	ARO10	881	chrIV	1235098	+	chrIV_1235098	Carlile 2014	No	Pus3
YDL178W	DLD2	1384	chrIV	140905	+	chrIV_140905	Carlile 2014	No	Pus3
YEL033W	MTC7	303	chrV	86481	+	chrV_86481	Carlile 2014	No	Pus3
YGL019W	CKB1	14	chrVII	458169	+	chrVII_458169	Carlile 2014	No	Pus3
YGR141W	VPS62	68	chrVII	770636	+	chrVII_770636	Carlile 2014	No	Pus3
YMR148W	OSW5	360	chrXIII	560725	+	chrXIII_560725	Carlile 2014	No	Pus3
YNL243W	SLA2	11	chrXIV	188061	+	chrXIV_188061	Carlile 2014	No	Pus3
YOL115W	PAP2	115	chrXV	101589	+	chrXV_101589	Carlile 2014	No	Pus3
YOR153W	PDR5	-44	chrXV	619796	+	chrXV_619796	Carlile 2014	No	Pus3
YPR009W	SUT2	-22	chrXVI	576530	+	chrXVI_576530	Carlile 2014	No	Pus3
YAL042W	ERV46	143	chrI	61458	+	chrI_61458	Carlile 2014	No	Pus3,4?
YMR210W	YMR210W	876	chrXIII	688391	+	chrXIII_688391	Carlile 2014	No	Pus3,4?
Q0250	COX2	107	chrM	73864	+	chrM_73864	Carlile 2014	No	Pus3,6?
YMR138W	CIN4	470	chrXIII	545624	+	chrXIII_545624	Carlile 2014	No	Pus4
YNL268W	LYP1	949	chrXIV	139498	+	chrXIV_139498	Carlile 2014	No	Pus4
YPR080W	TEF1	239	chrXVI	700832	+	chrXVI_700832	Carlile 2014	No	Pus4
YAL062W	GDH3	1030	chrI	32596	+	chrI_32596	Carlile 2014,Schwartz 2014	No	Pus4
YBR118W	TEF2	239	chrII	477909	+	chrII_477909	Carlile 2014,Schwartz 2014	No	Pus4
YPR079W	MRL1	845	chrXVI	699713	+	chrXVI_699713	Carlile 2014	No	Pus4,5?
YOR359W	VTS1	-117	chrXV	1011072	+	chrXV_1011072	Carlile 2014	No	Pus6
YDR380W	ARO10	222	chrIV	1234439	+	chrIV_1234439	Carlile 2014	No	Pus7
YER069W	ARG5	2465	chrV	297874	+	chrV_297874	Carlile 2014	No	Pus7
YKL184W	SPE1	-151	chrXI	96606	+	chrXI_96606	Carlile 2014	No	Pus7
YML132W	COS3	35	chrXIII	7278	+	chrXIII_7278	Carlile 2014	No	Pus7
YNL117W	MLS1	569	chrXIV	406926	+	chrXIV_406926	Carlile 2014	No	Pus7
YNR028W	CPR8	42	chrXIV	676218	+	chrXIV_676218	Carlile 2014	No	Pus7
YNL336W	COS1	35	chrXIV	8364	+	chrXIV_8364	Carlile 2014	No	Pus7
YOL081W	IRA2	-155	chrXV	170915	+	chrXV_170915	Carlile 2014	No	Pus7
YOL038W	PRE6	392	chrXV	255728	+	chrXV_255728	Carlile 2014	No	Pus7
YOR305W	RRG7	218	chrXV	889239	+	chrXV_889239	Carlile 2014	No	Pus7
YPL230W	USV1	74	chrXVI	115385	+	chrXVI_115385	Carlile 2014	No	Pus7
YPR009W	SUT2	29	chrXVI	576580	+	chrXVI_576580	Carlile 2014	No	Pus7
YPR124W	CTR1	388	chrXVI	786595	+	chrXVI_786595	Carlile 2014	No	Pus7
YPR198W	SGE1	356	chrXVI	934389	+	chrXVI_934389	Carlile 2014	No	Pus7
YAL062W	GDH3	1053	chrI	32619	+	chrI_32619	Carlile 2014	No	None
YBR012W-B		4938	chrII	264807	+	chrII_264807	Carlile 2014	No	None
YBR084W	MIS1	2877	chrII	413930	+	chrII_413930	Carlile 2014	No	None
YBR252W	DUT1	240	chrII	722850	+	chrII_722850	Carlile 2014	No	None
YBR297W	MAL33	188	chrII	800710	+	chrII_800710	Carlile 2014	No	None
YCL005W-A	VMA9	192	chrIII	107387	+	chrIII_107387	Carlile 2014	No	None
YCR093W	CDC39	6223	chrIII	286339	+	chrIII_286339	Carlile 2014	No	None
YDR393W	SHE9	605	chrIV	1260505	+	chrIV_1260505	Carlile 2014	No	None
YDR456W	NHX1	146	chrIV	1367630	+	chrIV_1367630	Carlile 2014	No	None
YDL120W	YFH1	-5	chrIV	245918	+	chrIV_245918	Carlile 2014	No	None
YDR041W	RSM10	65	chrIV	539867	+	chrIV_539867	Carlile 2014	No	None
YIL124W	AYR1	743	chrIX	126946	+	chrIX_126946	Carlile 2014	No	None
YIR021W-A	YIR021W-A	238	chrIX	398751	+	chrIX_398751	Carlile 2014	No	None
YIR022W	SEC11	19	chrIX	398751	+	chrIX_398751	Carlile 2014	No	None
Q0105	COB	1237	chrM	43726	+	chrM_43726	Carlile 2014	No	None
YEL066W	HPA3	519	chrV	27185	+	chrV_27185	Carlile 2014	No	None
YGL114W	YGL114W	721	chrVII	294180	+	chrVII_294180	Carlile 2014	No	None
YGL053W	PRM8	120	chrVII	402708	+	chrVII_402708	Carlile 2014	No	None
YGL006W	PMC1	169	chrVII	486089	+	chrVII_486089	Carlile 2014	No	None
YGR027W-B		5379	chrVII	541436	+	chrVII_541436	Carlile 2014	No	None
YGR034W	RPL26B	304	chrVII	556592	+	chrVII_556592	Carlile 2014	No	None
YGR141W	VPS62	72	chrVII	770640	+	chrVII_770640	Carlile 2014	No	None
YHR099W	TRA1	-59	chrVIII	302702	+	chrVIII_302702	Carlile 2014	No	None
YJR029W		5379	chrX	483723	+	chrX_483723	Carlile 2014	No	None
YJR074W	MOG1	128	chrX	573222	+	chrX_573222	Carlile 2014	No	None
YKL142W	MRP8	106	chrXI	178620	+	chrXI_178620	Carlile 2014	No	None
YKL107W	YKL107W	224	chrXI	236364	+	chrXI_236364	Carlile 2014	No	None
YKL093W	MBR1	213	chrXI	265001	+	chrXI_265001	Carlile 2014	No	None
YKL207W	EMC3	344	chrXI	48537	+	chrXI_48537	Carlile 2014	No	None
YLR446W	YLR446W	71	chrXII	1025284	+	chrXII_1025284	Carlile 2014	No	None
YLR270W	DCS1	1139	chrXII	682324	+	chrXII_682324	Carlile 2014	No	None
YLR372W	SUR4	249	chrXII	867602	+	chrXII_867602	Carlile 2014	No	None
YMR090W	YMR090W	55	chrXIII	449299	+	chrXIII_449299	Carlile 2014	No	None
YMR173W	DDR48	10	chrXIII	608698	+	chrXIII_608698	Carlile 2014	No	None
YMR250W	GAD1	683	chrXIII	771483	+	chrXIII_771483	Carlile 2014	No	None
YNL162W	RPL42A	36	chrXIV	331869	+	chrXIV_331869	Carlile 2014	No	None
YNL036W	NCE103	513	chrXIV	560326	+	chrXIV_560326	Carlile 2014	No	None
YOL115W	PAP2	145	chrXV	101619	+	chrXV_101619	Carlile 2014	No	None
YOL115W	PAP2	217	chrXV	101691	+	chrXV_101691	Carlile 2014	No	None
YOL115W	PAP2	218	chrXV	101692	+	chrXV_101692	Carlile 2014	No	None
YOR036W	PEP12	478	chrXV	400825	+	chrXV_400825	Carlile 2014	No	None
YOL151W	GRE2	135	chrXV	43828	+	chrXV_43828	Carlile 2014	No	None
YOR142W-B		4935	chrXV	600047	+	chrXV_600047	Carlile 2014	No	None
YOL133W	HRT1	245	chrXV	70569	+	chrXV_70569	Carlile 2014	No	None
YOR274W	MOD5	-53	chrXV	837621	+	chrXV_837621	Carlile 2014	No	None
YOR328W	PDR10	4851	chrXV	936653	+	chrXV_936653	Carlile 2014	No	None
YPL218W	SAR1	419	chrXVI	139255	+	chrXVI_139255	Carlile 2014	No	None
YPL144W	POC4	256	chrXVI	280735	+	chrXVI_280735	Carlile 2014	No	None
YPL088W	YPL088W	-241	chrXVI	381724	+	chrXVI_381724	Carlile 2014	No	None
YPL087W	YDC1	655	chrXVI	384109	+	chrXVI_384109	Carlile 2014	No	None
YPR035W	GLN1	294	chrXVI	642501	+	chrXVI_642501	Carlile 2014	No	None
YPR183W	DPM1	619	chrXVI	901373	+	chrXVI_901373	Carlile 2014	No	None
YHR200W	RPN10	363	chrVIII	499441	+	chrVIII_499441	Carlile 2014,Schwartz 2014	No	None
YAL008W	FUN14	554	chrI	137466	+	chrI_137466	Schwartz 2014	No	None
YAL042W	ERV46	957	chrI	62271	+	chrI_62271	Schwartz 2014	No	None
YBL043W	ECM13	456	chrII	137142	+	chrII_137142	Schwartz 2014	No	None
YBR078W	ECM33	260	chrII	393711	+	chrII_393711	Schwartz 2014	No	None
YBR263W	SHM1	1335	chrII	737597	+	chrII_737597	Schwartz 2014	No	None
YCL048W-A	YCL048W-A	200	chrIII	41686	+	chrIII_41686	Schwartz 2014	No	None
YDR536W	STL1	1317	chrIV	1509320	+	chrIV_1509320	Schwartz 2014	No	None
YDL128W	VCX1	650	chrIV	233300	+	chrIV_233300	Schwartz 2014	No	None
YDL128W	VCX1	1020	chrIV	233670	+	chrIV_233670	Schwartz 2014	No	None
YDL095W	PMT1	869	chrIV	287926	+	chrIV_287926	Schwartz 2014	No	None
YDL086W	YDL086W	409	chrIV	301820	+	chrIV_301820	Schwartz 2014	No	None
YDL066W	IDP1	1127	chrIV	335960	+	chrIV_335960	Schwartz 2014	No	None
YDR100W	TVP15	242	chrIV	655253	+	chrIV_655253	Schwartz 2014	No	None
YDR158W	HOM2	387	chrIV	770742	+	chrIV_770742	Schwartz 2014	No	None
YDR188W	CCT6	645	chrIV	837064	+	chrIV_837064	Schwartz 2014	No	None
YDR204W	COQ4	592	chrIV	858727	+	chrIV_858727	Schwartz 2014	No	None
YDR214W	AHA1	339	chrIV	893212	+	chrIV_893212	Schwartz 2014	No	None
YDR214W	AHA1	1020	chrIV	893893	+	chrIV_893893	Schwartz 2014	No	None
YDR262W	YDR262W	44	chrIV	993176	+	chrIV_993176	Schwartz 2014	No	None
YIL125W	KGD1	981	chrIX	123668	+	chrIX_123668	Schwartz 2014	No	None
YIL125W	KGD1	1261	chrIX	123948	+	chrIX_123948	Schwartz 2014	No	None
YIL125W	KGD1	1266	chrIX	123953	+	chrIX_123953	Schwartz 2014	No	None
YIL041W	GVP36	595	chrIX	277118	+	chrIX_277118	Schwartz 2014	No	None
YEL027W	VMA3	439	chrV	101206	+	chrV_101206	Schwartz 2014	No	None
YER021W	RPN3	981	chrV	197927	+	chrV_197927	Schwartz 2014	No	None
YER103W	SSA4	1114	chrV	365701	+	chrV_365701	Schwartz 2014	No	None
YER165W	PAB1	1610	chrV	511981	+	chrV_511981	Schwartz 2014	No	None
YFL026W	STE2	202	chrVI	82780	+	chrVI_82780	Schwartz 2014	No	None
YGR254W	ENO1	352	chrVII	1001277	+	chrVII_1001277	Schwartz 2014	No	None
YGR266W	YGR266W	758	chrVII	1023412	+	chrVII_1023412	Schwartz 2014	No	None
YHL001W	RPL14B	135	chrVIII	104808	+	chrVIII_104808	Schwartz 2014	No	None
YHL001W	RPL14B	328	chrVIII	105001	+	chrVIII_105001	Schwartz 2014	No	None
YHR026W	VMA16	352	chrVIII	161194	+	chrVIII_161194	Schwartz 2014	No	None
YJL045W	SDH1b	10	chrX	356032	+	chrX_356032	Schwartz 2014	No	None
YJR028W	YJR028W	112	chrX	478454	+	chrX_478454	Schwartz 2014	No	None
YJR105W	ADO1	927	chrX	624506	+	chrX_624506	Schwartz 2014	No	None
YKL182W	FAS1	3975	chrXI	104644	+	chrXI_104644	Schwartz 2014	No	None
YKL175W	ZRT3	807	chrXI	119598	+	chrXI_119598	Schwartz 2014	No	None
YKL094W	YJU3	401	chrXI	263748	+	chrXI_263748	Schwartz 2014	No	None
YKL019W	RAM2	816	chrXI	403382	+	chrXI_403382	Schwartz 2014	No	None
YKL210W	UBA1	1859	chrXI	41020	+	chrXI_41020	Schwartz 2014	No	None
YKL006W	RPL14A	134	chrXI	432436	+	chrXI_432436	Schwartz 2014	No	None
YKL006W	RPL14A	139	chrXI	432441	+	chrXI_432441	Schwartz 2014	No	None
YKL004W	AUR1	978	chrXI	436556	+	chrXI_436556	Schwartz 2014	No	None
YKR013W	PRY2	64	chrXI	464021	+	chrXI_464021	Schwartz 2014	No	None
YLR249W	YEF3	1075	chrXII	637853	+	chrXII_637853	Schwartz 2014	No	None
YLR267W	BOP2	365	chrXII	678575	+	chrXII_678575	Schwartz 2014	No	None
YMR022W	UBC7	381	chrXIII	319059	+	chrXIII_319059	Schwartz 2014	No	None
YMR058W	FET3	1885	chrXIII	390705	+	chrXIII_390705	Schwartz 2014	No	None
YMR202W	ERG2	552	chrXIII	668087	+	chrXIII_668087	Schwartz 2014	No	None
YMR250W	GAD1	612	chrXIII	771411	+	chrXIII_771411	Schwartz 2014	No	None
YMR307W	GAS1	46	chrXIII	887047	+	chrXIII_887047	Schwartz 2014	No	None
YMR307W	GAS1	1449	chrXIII	888450	+	chrXIII_888450	Schwartz 2014	No	None
YNL327W	EGT2	1497	chrXIV	25543	+	chrXIV_25543	Schwartz 2014	No	None
YNL066W	SUN4	115	chrXIV	501628	+	chrXIV_501628	Schwartz 2014	No	None
YOR002W	ALG6	294	chrXV	329709	+	chrXV_329709	Schwartz 2014	No	None
YOR142W-B	YOR142W-B	4522	chrXV	599633	+	chrXV_599633	Schwartz 2014	No	None
YOR303W	CPA1	250	chrXV	883147	+	chrXV_883147	Schwartz 2014	No	None
YOR328W	PDR10	3596	chrXV	935397	+	chrXV_935397	Schwartz 2014	No	None
YPL091W	GLR1	221	chrXVI	375721	+	chrXVI_375721	Schwartz 2014	No	None
YPL087W	YDC1	844	chrXVI	384297	+	chrXVI_384297	Schwartz 2014	No	None
YPL036W	PMA2	2794	chrXVI	485635	+	chrXVI_485635	Schwartz 2014	No	None
YPL028W	ERG10	168	chrXVI	498262	+	chrXVI_498262	Schwartz 2014	No	None
YPR026W	ATH1	2327	chrXVI	617704	+	chrXVI_617704	Schwartz 2014	No	None
YPR160W	GPH1	1569	chrXVI	862873	+	chrXVI_862873	Schwartz 2014	No	None
YPR192W	AQY1	624	chrXVI	922482	+	chrXVI_922482	Schwartz 2014	No	None
YGR234W	YHB1	962	chrVII	960865	+	chrVII_960865	Carlile 2014,Schwartz 2014	Yes	Pus1,7?
YJL034W	KAR2	1916	chrX	383242	+	chrX_383242	Carlile 2014,Schwartz 2014	Yes	Pus4
YDR152W	GIR2	749	chrIV	766454	+	chrIV_766454	Carlile 2014,Schwartz 2014	Yes	Pus7
YER150W	SPI1	83	chrV	468452	+	chrV_468452	Carlile 2014,Schwartz 2014	Yes	Pus7
YGL115W	SNF4	890	chrVII	292922	+	chrVII_292922	Carlile 2014,Schwartz 2014	Yes	Pus7
YHR140W	YHR140W	95	chrVIII	380666	+	chrVIII_380666	Carlile 2014,Schwartz 2014	Yes	Pus7
YLR258W	GSY2	557	chrXII	661272	+	chrXII_661272	Carlile 2014,Schwartz 2014	Yes	Pus7
YGR214W	RPS0A	604	chrVII	921633	+	chrVII_921633	Carlile 2014,Schwartz 2014	Yes	None
YAL003W	EFB1	82	chrI	142620	+	chrI_142620	Schwartz 2014	Yes	None
YAR027W	UIP3	330	chrI	184098	+	chrI_184098	Schwartz 2014	Yes	None
YAL060W	BDH1	654	chrI	35807	+	chrI_35807	Schwartz 2014	Yes	None
YAL042W	ERV46	743	chrI	62057	+	chrI_62057	Schwartz 2014	Yes	None
YBR056W	YBR056W	1104	chrII	348981	+	chrII_348981	Schwartz 2014	Yes	None
YBR056W-A	YBR056W-A	181	chrII	351434	+	chrII_351434	Schwartz 2014	Yes	None
YBR103W	SIF2	1569	chrII	449276	+	chrII_449276	Schwartz 2014	Yes	None
YBR118W	TEF2	556	chrII	478225	+	chrII_478225	Schwartz 2014	Yes	None
YBR118W	TEF2	1105	chrII	478774	+	chrII_478774	Schwartz 2014	Yes	None
YBR139W	YBR139W	1255	chrII	516917	+	chrII_516917	Schwartz 2014	Yes	None
YBR159W	IFA38	416	chrII	559099	+	chrII_559099	Schwartz 2014	Yes	None
YBR183W	YPC1	513	chrII	596626	+	chrII_596626	Schwartz 2014	Yes	None
YBR189W	RPS9B	223	chrII	605142	+	chrII_605142	Schwartz 2014	Yes	None
YBR191W	RPL21A	304	chrII	606960	+	chrII_606960	Schwartz 2014	Yes	None
YBR252W	DUT1	387	chrII	722996	+	chrII_722996	Schwartz 2014	Yes	None
YBR279W	PAF1	1083	chrII	762338	+	chrII_762338	Schwartz 2014	Yes	None
YCR097W	HMRA1	16	chrIII	293849	+	chrIII_293849	Schwartz 2014	Yes	None
YCL040W	GLK1	501	chrIII	51337	+	chrIII_51337	Schwartz 2014	Yes	None
YDL192W	ARF1	8	chrIV	116327	+	chrIV_116327	Schwartz 2014	Yes	None
YDR394W	RPT3	987	chrIV	1262666	+	chrIV_1262666	Schwartz 2014	Yes	None
YDL185W	VMA1	2476	chrIV	129261	+	chrIV_129261	Schwartz 2014	Yes	None
YDL147W	RPN5	396	chrIV	191318	+	chrIV_191318	Schwartz 2014	Yes	None
YDL084W	SUB2	775	chrIV	306010	+	chrIV_306010	Schwartz 2014	Yes	None
YDL022W	GPD1	172	chrIV	411995	+	chrIV_411995	Schwartz 2014	Yes	None
YDL022W	GPD1	403	chrIV	412226	+	chrIV_412226	Schwartz 2014	Yes	None
YDL007W	RPT2	1202	chrIV	439247	+	chrIV_439247	Schwartz 2014	Yes	None
YDL229W	SSB1	1094	chrIV	45157	+	chrIV_45157	Schwartz 2014	Yes	None
YDR012W	RPL4B	194	chrIV	472045	+	chrIV_472045	Schwartz 2014	Yes	None
YDR037W	KRS1	1612	chrIV	527050	+	chrIV_527050	Schwartz 2014	Yes	None
YDR055W	PST1	1067	chrIV	564592	+	chrIV_564592	Schwartz 2014	Yes	None
YDR077W	SED1	513	chrIV	601304	+	chrIV_601304	Schwartz 2014	Yes	None
YDR077W	SED1	888	chrIV	601679	+	chrIV_601679	Schwartz 2014	Yes	None
YDR100W	TVP15	345	chrIV	655356	+	chrIV_655356	Schwartz 2014	Yes	None
YDR158W	HOM2	707	chrIV	771062	+	chrIV_771062	Schwartz 2014	Yes	None
YDR158W	HOM2	742	chrIV	771097	+	chrIV_771097	Schwartz 2014	Yes	None
YDR177W	UBC1	480	chrIV	817356	+	chrIV_817356	Schwartz 2014	Yes	None
YIL078W	THS1	1809	chrIX	214306	+	chrIX_214306	Schwartz 2014	Yes	None
YIL076W	SEC28	330	chrIX	216986	+	chrIX_216986	Schwartz 2014	Yes	None
YIR022W	SEC11	187	chrIX	398918	+	chrIX_398918	Schwartz 2014	Yes	None
YIL148W	RPL40A	51	chrIX	69191	+	chrIX_69191	Schwartz 2014	Yes	None
YIL148W	RPL40A	272	chrIX	69412	+	chrIX_69412	Schwartz 2014	Yes	None
YIL148W	RPL40A	331	chrIX	69471	+	chrIX_69471	Schwartz 2014	Yes	None
YER067W	RGI1	152	chrV	292216	+	chrV_292216	Schwartz 2014	Yes	None
YER103W	SSA4	423	chrV	365010	+	chrV_365010	Schwartz 2014	Yes	None
YER133W	GLC7	690	chrV	433708	+	chrV_433708	Schwartz 2014	Yes	None
YEL040W	UTR2	1290	chrV	79341	+	chrV_79341	Schwartz 2014	Yes	None
YEL034W	HYP2	118	chrV	85792	+	chrV_85792	Schwartz 2014	Yes	None
YFL037W	TUB2	339	chrVI	56673	+	chrVI_56673	Schwartz 2014	Yes	None
YFL037W	TUB2	1290	chrVI	57624	+	chrVI_57624	Schwartz 2014	Yes	None
YGR260W	TNA1	406	chrVII	1012889	+	chrVII_1012889	Schwartz 2014	Yes	None
YGR260W	TNA1	1531	chrVII	1014014	+	chrVII_1014014	Schwartz 2014	Yes	None
YGL166W	CUP2	411	chrVII	191538	+	chrVII_191538	Schwartz 2014	Yes	None
YGL123W	RPS2	577	chrVII	278192	+	chrVII_278192	Schwartz 2014	Yes	None
YGL105W	ARC1	12	chrVII	307447	+	chrVII_307447	Schwartz 2014	Yes	None
YGL058W	RAD6	336	chrVII	394320	+	chrVII_394320	Schwartz 2014	Yes	None
YGL012W	ERG4	1348	chrVII	474201	+	chrVII_474201	Schwartz 2014	Yes	None
YGR026W	YGR026W	143	chrVII	533126	+	chrVII_533126	Schwartz 2014	Yes	None
YGR027W-A	YGR027W-A	787	chrVII	536842	+	chrVII_536842	Schwartz 2014	Yes	None
YGR211W	ZPR1	1102	chrVII	916341	+	chrVII_916341	Schwartz 2014	Yes	None
YHR026W	VMA16	204	chrVIII	161046	+	chrVIII_161046	Schwartz 2014	Yes	None
YHR049W	FSH1	411	chrVIII	206871	+	chrVIII_206871	Schwartz 2014	Yes	None
YHR087W	RTC3	78	chrVIII	280896	+	chrVIII_280896	Schwartz 2014	Yes	None
YHR087W	RTC3	289	chrVIII	281107	+	chrVIII_281107	Schwartz 2014	Yes	None
YHR146W	CRP1	471	chrVIII	390769	+	chrVIII_390769	Schwartz 2014	Yes	None
YHR146W	CRP1	1293	chrVIII	391591	+	chrVIII_391591	Schwartz 2014	Yes	None
YHR179W	OYE2	94	chrVIII	462594	+	chrVIII_462594	Schwartz 2014	Yes	None
YJL062W-A	COA3	135	chrX	316856	+	chrX_316856	Schwartz 2014	Yes	None
YJL062W-A	COA3	186	chrX	316907	+	chrX_316907	Schwartz 2014	Yes	None
YJL026W	RNR2	794	chrX	393196	+	chrX_393196	Schwartz 2014	Yes	None
YJL026W	RNR2	811	chrX	393213	+	chrX_393213	Schwartz 2014	Yes	None
YJR057W	CDC8	546	chrX	544606	+	chrX_544606	Schwartz 2014	Yes	None
YJR121W	ATP2	613	chrX	648218	+	chrX_648218	Schwartz 2014	Yes	None
